second,avg_latency_ms_etcdv3_nocompression,throughput_etcdv3_nocompression,cumulative_throughput_etcdv3_nocompression,avg_cpu_etcdv3_nocompression,avg_memory_mb_etcdv3_nocompression,avg_latency_ms_etcdv3_snappy,throughput_etcdv3_snappy,cumulative_throughput_etcdv3_snappy,avg_cpu_etcdv3_snappy,avg_memory_mb_etcdv3_snappy
283,788.007135,1234,361563,298.40,1805.71,837.989600,1168,319394,453.87,1564.06
284,757.995394,1296,362859,298.42,1805.71,834.882762,1158,320552,453.91,1564.06
285,776.873742,1315,364174,298.49,1805.71,889.605106,1121,321673,453.96,1564.06
286,788.239373,1251,365425,298.53,1805.71,853.722518,1108,322781,454.00,1564.06
287,797.634065,1234,366659,298.52,1805.71,832.289569,1116,323897,453.97,1564.06
288,797.209483,1274,367933,298.53,1805.71,846.557712,1186,325083,454.04,1564.81
289,778.501924,1290,369223,298.58,1805.71,849.947041,1121,326204,454.07,1564.81
290,779.056706,1277,370500,298.62,1805.71,839.818185,1133,327337,454.11,1564.81
291,791.052295,1260,371760,298.66,1809.06,875.145904,1126,328463,454.08,1564.81
292,764.763278,1285,373045,298.68,1809.06,846.612850,1190,329653,454.19,1564.81
293,770.448914,1283,374328,298.71,1809.07,824.609835,1140,330793,454.26,1564.81
294,810.213071,1269,375597,298.72,1809.07,843.252623,1149,331942,454.38,1567.94
295,787.236898,1284,376881,298.72,1809.07,836.347847,1133,333075,454.40,1567.94
296,786.866775,1253,378134,298.74,1809.07,863.180345,1162,334237,454.49,1567.94
297,785.972995,1228,379362,298.71,1809.07,851.048161,1119,335356,454.52,1567.94
298,794.376980,1261,380623,298.71,1809.07,827.538593,1149,336505,454.59,1567.94
299,783.926106,1274,381897,298.74,1809.07,850.516967,1166,337671,454.63,1567.94
300,803.238416,1256,383153,298.72,1809.07,845.909789,1129,338800,454.75,1567.95
301,781.659056,1264,384417,298.70,1809.07,858.087276,1153,339953,454.80,1567.95
302,807.284290,1242,385659,298.71,1809.07,829.927672,1130,341083,454.85,1567.95
303,755.726474,1298,386957,298.72,1809.07,821.593441,1137,342220,454.80,1567.95
304,757.512306,1308,388265,298.79,1809.07,872.564181,1124,343344,454.97,1567.95
305,788.273140,1283,389548,298.85,1809.07,852.984016,1140,344484,455.00,1567.95
306,794.238940,1263,390811,298.90,1809.07,833.446372,1148,345632,454.98,1567.95
