second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_3.4.8,throughput_zookeeper_3.4.8,cumulative_throughput_zookeeper_3.4.8,avg_cpu_zookeeper_3.4.8,avg_memory_mb_zookeeper_3.4.8,avg_latency_ms_consul_0.6.4,throughput_consul_0.6.4,cumulative_throughput_consul_0.6.4,avg_cpu_consul_0.6.4,avg_memory_mb_consul_0.6.4
154,0.412813,2393,421597,17.22,43.40,0.255379,3887,585718,11.59,101.17,0.414106,2391,365551,13.69,21.16
155,0.424160,2326,423923,17.21,43.40,0.252522,3929,589647,11.59,101.17,0.426833,2321,367872,13.69,21.16
156,0.417456,2366,426289,17.20,43.68,0.261224,3801,593448,11.59,101.17,0.441487,2241,370113,13.70,21.16
157,0.417133,2367,428656,17.20,43.77,0.262174,3787,597235,11.60,101.17,0.428770,2298,372411,13.70,21.16
158,0.416151,2371,431027,17.20,43.77,0.270163,3676,600911,11.60,101.17,0.432328,2279,374690,13.71,21.16
159,0.400197,2464,433491,17.20,43.77,0.258258,3843,604754,11.61,101.17,0.450997,2177,376867,13.71,21.16
160,0.384703,2558,436049,17.19,43.77,0.264187,3760,608514,11.61,101.17,0.475680,2067,378934,13.71,21.23
161,0.390450,2520,438569,17.19,43.77,0.249628,3975,612489,11.61,101.17,0.459536,2135,381069,13.71,21.23
162,0.362400,2717,441286,17.20,43.77,0.249043,3984,616473,11.61,101.17,0.450208,2178,383247,13.71,21.23
163,0.360264,2736,444022,17.20,43.86,0.241522,4109,620582,11.61,101.17,0.473479,2073,385320,13.71,21.23
164,0.361179,2733,446755,17.21,43.86,0.240764,4122,624704,11.61,105.30,0.457171,2152,387472,13.72,21.23
165,0.365120,2705,449460,17.22,43.86,0.245891,4036,628740,11.60,105.30,0.443502,2233,389705,13.72,21.23
166,0.366512,2696,452156,17.22,43.86,0.242053,4101,632841,11.60,105.30,0.439494,2255,391960,13.72,21.23
167,0.348213,2835,454991,17.22,43.86,0.255120,3892,636733,11.61,105.33,0.441255,2244,394204,13.72,21.23
168,0.361986,2729,457720,17.23,43.86,0.256768,3866,640599,11.61,105.33,0.444571,2228,396432,13.73,21.23
169,0.366497,2695,460415,17.24,43.86,0.254601,3900,644499,11.62,105.33,0.420053,2356,398788,13.73,21.23
